,stim_id,Label,Type,Text,Hummingbird scores,Captum Converted,Judgment,Confidence,gpt2 ppl,gpt3 ppl
21,23,Positive Sentiment,Tweet,@mashable For some reason this has filled me with delight. See Auntie laugh.,0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.3333 1.0 0.0 0.3333 1.0,-0.16999999999999998 -0.016666666666666663 -0.05 0.02 0.01 0.08 0.01 -0.05 -0.05 0.31499999999999995 -0.18 -0.01 9.25185853854297e-18,Positive,1,nan 18.338772416114807 4.786327838897705 1.0365819931030273 3.401972532272339 3.5284488201141357 9.427141189575195 0.3892253637313843 0.05342511832714081 7.553757190704346 6.847501754760742 14.108301162719727 14.903241634368896,0.4697817912377047 0.0001068579687640121 0.027899617497941426 0.6677851025315618 0.029454534732744654 0.008048576785615621 0.00039911139283512436 0.7622387135345323 0.9757251752076169 0.4222286151984532 0.0003815397571334241 0.6281388120343083 0.16504665999177162
22,24,Positive Sentiment,Tweet,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise  That pizza segment! Plus I love her and Jazzy's friendship!,0.0 0.0 0.0 0.3333 0.3333 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 1.0 0.3333 0.0 0.0 0.3333,0.07 0.03333333333333333 0.01 -0.08 -0.07333333333333333 0.28 -0.07 0.03 0.55 0.25 0.05 0.41 -0.03 -0.2 -0.18 0.04 0.07 -0.22,Positive,1,nan 31.401144981384277 3.692858934402466 2.591205596923828 10.133730173110962 5.453498363494873 5.508981704711914 27.437210691161454 6.9626641273498535 12.085297584533691 15.233882904052734 7.054290294647217 3.1602303981781006 1.966079831123352 2.467003345489502 4.672430515289307 15.16429889202118 6.77164888381958,0.0003735852382758041 1.7384146165359339e-06 0.168711807630077 0.4812182490592526 0.001045755487735985 0.005613071527038638 0.001103466710409306 3.933075340521169 1.3918662394838273e-05 4.3804587877750375e-05 0.022587797619160174 0.000317244749990502 0.030221786723813513 0.3391592560690708 0.3256737713603271 0.08087221197633394 0.5580990357098659 0.7232960125026052
23,25,Positive Sentiment,Tweet,@rickysnecklace I'm so proud Mils! Keep smiling,0.0 0.3333 0.3333 1.0 0.6667 0.0 0.6667,0.21 0.17500000000000002 0.0 0.53 0.1366666666666667 0.33 -0.16,Positive,1,nan 29.390296459197998 3.006100654602051 3.501699686050415 21.55972695350647 5.215178966522217 5.8225812911987305,0.15517730425665183 0.12740788491529167 0.09368145764335002 0.014581355309004325 0.10999534184056078 0.00798459115702858 0.005091162935286607
24,26,Positive Sentiment,Movie review,Candid and comfortable; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work.,1.0 0.0 1.0 0.0 0.0 0.0 1.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0,0.06 -0.060000000000000005 0.46499999999999997 -0.05 0.21 -0.05 0.22 0.065 -0.0050000000000000044 -0.03 0.0 -0.08 -0.05 0.1 -0.01 -0.04 0.0 -0.02 0.14 -0.18 0.14 0.04 -0.04 -0.08 -0.005,Positive,1,nan 10.658751964569092 13.133410453796387 2.996769905090332 8.395092964172363 1.5151768922805786 7.241820812225342 3.1249525964376517 5.6713128089904785 0.7762718796730042 5.67533540725708 4.107837677001953 0.9916701912879944 5.680110931396484 1.6587048768997192 7.321838855743408 3.7171504497528076 2.85308837890625 0.5823808312416077 7.157695770263672 10.324275970458984 0.9513759613037109 0.15619194507598877 1.287718653678894 2.5163421630859375,0.04654494844742346 0.0019223220935158179 0.004088969140105948 0.055938589837967914 0.0004648977820918605 0.25613037161818736 0.9983073025289378 0.0558845904284147 0.0005637873029634405 0.49062509343731475 0.006423247166333268 0.014938821269707287 0.5586922467040651 0.00040840795230898705 0.0832726345990917 9.97763875835146e-05 0.013147981897585257 0.060003901132420295 0.5434660173231828 0.004068928833660107 1.7033475552427465e-05 0.5932941297512572 0.8826540716269239 0.3527822386780059 0.7231269369469596
25,27,Positive Sentiment,Movie review,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,0.0 0.0 0.0 0.3333 0.6667 0.0 0.3333 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-0.36 0.79 -0.06 -0.14 -0.27 0.08 0.11 -0.01 0.17 0.01 0.01 -0.06 -0.01 0.0 -0.08 -0.07 0.04 -0.06 0.04 0.1 -0.22 -0.05 0.0 -0.03 -0.02 0.1,Positive,1,nan 8.156591415405273 7.045071125030518 6.685395240783691 3.3222579956054688 0.34382620453834534 8.580794334411621 0.3875027596950531 1.2198677062988281 0.183251291513443 7.092679023742676 1.9155782461166382 4.950129985809326 8.692602157592773 1.8278762102127075 3.224208354949951 7.168272018432617 0.06297272443771362 0.8843943476676941 8.960870742797852 1.3676185607910156 0.8208763599395752 4.182014465332031 1.2005846500396729 0.7184221744537354 1.8368200957775116,0 0.0002098748830086913 0.010176325356184531 0.009187333840449284 0.1318358092449239 0.753452222769666 0.0004496040281574476 0.6562508958319356 0.5529062066902253 0.8152275110786232 0.0005884562356262011 0.03369049934218073 0.0041011198845309115 0.0008991977329621605 0.1143972315576669 0.06697156182961182 0.04676412171925428 0.9751563781489191 0.4856720874435838 0.0014919719166475523 0.2947364534729871 0.6314567482727229 0.0015735548239920827 0.6049148649161641 0.5181561522138162 0.9224191188149446
26,28,Positive Sentiment,Movie review,The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work.,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0,-0.26 0.06285714285714286 -0.08 0.01 -0.01 -0.32 0.37 0.04 0.27 0.24 -0.17 -0.02 0.45 0.07 -0.02 0.05 -0.03 -0.08 0.11 0.08 0.04 0.01 0.11250000000000002 -0.11 0.04 0.03 0.08 -0.04 0.04 -0.060000000000000005,Positive,1,nan 16.37653238652274 7.056269645690918 4.2385783195495605 1.7970085144042969 2.9862172603607178 10.239385604858398 8.705803871154785 5.917746543884277 3.9489243030548096 1.7699790000915527 2.7505977153778076 7.412815093994141 2.8459606170654297 0.17720647156238556 0.45270809531211853 7.955904006958008 5.249507427215576 3.3846380710601807 5.862563133239746 0.18105369806289673 4.20428466796875 15.486129492521286 7.049243927001953 4.292372226715088 8.148645401000977 3.3727846145629883 0.005537764634937048 3.524885654449463 5.674263775348663,0 4.1399044874516715 0.0003849650527016661 0.007272297591650809 0.21685941338107007 0.02122391217838323 3.716151036242594e-05 0.0004222547301876892 0.009319273536966979 0.10737906944763276 0.13792802332481116 0.06672215648740908 0.03650868870536456 0.08323036781283732 0.9463753677222793 0.7354323657507505 0.0008198730883409922 0.0019475042459818532 0.007181507210893169 0.005054467870516601 0.8875950231730273 0.049216546551585076 1.454858891817111 0.009785893197306219 0.05127815222873053 0.08769481529453323 0.23548499100959416 0.9903932019690388 0.17243834960245427 0.7935383648183092
27,29,Positive Sentiment,Movie review,The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in Hollywood's hastier productions.,0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.01 0.23 0.07 0.07 -0.08 0.81 -0.07 0.01 0.15 -0.01 0.01 -0.05 0.02 -0.01 0.17 0.005 0.02 0.03 -0.08 -0.005 -0.023333333333333334 0.17 -0.13 0.09 -0.03 0.05666666666666667 0.05 -0.11333333333333334,Positive,1,nan 7.474360466003418 1.944053292274475 7.4581780433654785 3.4188475608825684 2.1678342819213867 1.6063838005065918 10.14732551574707 5.613456726074219 1.1888525485992432 0.8232663869857788 4.1971435546875 0.0840965062379837 6.4407639503479 5.2889204025268555 7.28292179107666 11.446990013122559 1.923237919807434 0.029940171167254448 1.3236385583877563 5.384304761886597 4.58430290222168 1.4486678838729858 0.6599990129470825 0.4050659239292145 6.988609790802002 14.495965957641602 7.240896090865135,0 0.0008381185497547534 0.16838608689086465 0.0014588970120101646 0.04214703251408443 0.010654272431455095 0.1294310852139814 9.248750533769469e-05 0.017891554376868686 0.07012404736811247 0.2922047569569909 0.007921582361445365 0.9588959005410597 0.00039335619813913453 0.006921260311473478 0.0020178473583015596 1.8373796713301555e-05 0.6794472900976443 0.9376738296800853 0.3575855660114724 0.29783264010994487 0.02695859523020884 0.6986606946357645 0.6780696009785461 0.4908917715629732 0.061453349245474444 0.21830491443876426 0.9607078402139746
28,30,Positive Sentiment,Tweet,"@chasejarvis Honestly, been hearing this over and over again...it's kinda imprinted on my mind now. Thanks! #Strategy",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0,0.075 0.022500000000000013 0.08 0.21 0.02 0.02 -0.04 0.03 9.912705577010326e-19 -0.24 0.18 -0.030000000000000002 0.02 0.0 -0.045 -0.135 -0.13,Positive,1,nan 32.97031590342522 9.73941707611084 5.370696067810059 2.153646945953369 5.647550106048584 0.5003679990768433 0.001384134404361248 10.729531347751617 6.3230390548706055 13.39999771118164 1.1508957147598267 0.49934858083724976 1.439142107963562 5.657921552658081 7.758064031600952 16.775981903076172,0.8773754408573988 0.5329167951448635 8.888563629351629e-05 0.0024651786486900367 0.08640912459585642 0.004372195470665404 0.8115967219789554 0.9967705962779975 0.5910202596585011 0.002887491057813921 0.9222126448106047 0.24720737987029082 0.6996199849454899 0.052545395857896346 0.7567466208149536 0.18917071010884498 0.30714336953136284
29,31,Positive Sentiment,Tweet,"Sometimes, you just need to eat a delicious piece of chocolate to remind yourself that there's no need to be bitter. Sweetness redeems.",0.0 0.0 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.3333 0.0 0.3333 0.3333 0.0 0.6667 0.6667 0.6667 0.6667 0.6667 0.6667 0.3333 0.6667,-0.32499999999999996 -0.26 0.16 0.11 0.1 -0.05 -0.02 0.28 0.05 0.08 0.32 -0.03 0.05 0.17 -0.03 0.03333333333333333 -0.05 -0.07 0.03 -0.05 -0.21000000000000002 0.21 -0.145,Positive,1,nan 2.8124899864196777 2.9279708862304688 1.8371485471725464 0.5232743620872498 6.674483299255371 1.8669159412384033 5.6235151290893555 4.459111213684082 0.03505665808916092 2.9792189598083496 3.2379000186920166 5.836152076721191 1.3200201988220215 1.0531777143478394 4.596785247325897 2.5123462677001953 3.129863977432251 0.1074175238609314 2.2015559673309326 7.147192001342773 7.317529678344727 17.357176244375296,0.20638038165776604 0.07710231291232265 0.22328310132582707 0.4598299370136139 0.479377208418895 0.0035710950268949913 0.1733679265044847 0.009558979542810877 0.018271483741225343 0.9953921070644113 0.06603680109526927 0.0734909066106675 0.027160789723562048 0.601960379875176 0.6588862034784336 0.16328600666284132 0.011983566812681395 0.26841164180310273 0.9202680929582066 0.2762014467413073 0.3817367732882467 0.05162998946858811 1.2155605895879205
30,32,Positive Sentiment,Tweet,"Let me no longer languish in #pain, but look forward with #joy to all I have been gifted to achieve in my life.' ~ #Eleesha  #quote",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.6667 1.0 0.3333 0.3333 0.3333 0.3333 0.3333 0.6667 0.3333 0.6667 0.0 0.0 0.0 0.0 0.0 0.0,0.07 -0.01 0.13 0.32 -0.04 -0.0033333333333333344 -0.003333333333333336 -0.07 0.09 0.05 0.03 -0.04999999999999999 0.06 0.01 0.04 0.0 -0.02 0.16 0.02 0.04 -0.02 0.05 -0.06666666666666667 0.71 -0.020000000000000007 -0.22,Positive,0.99,nan 1.9123549461364746 9.956395149230957 0.3611852526664734 8.753042221069336 0.8689624844118953 22.508926391601562 2.600506067276001 5.252711296081543 1.5289921760559082 2.875088691711426 5.933817982673645 3.640946388244629 3.9611549377441406 4.369502544403076 1.1040490865707397 3.667477607727051 4.970099449157715 3.586799144744873 2.983830451965332 2.4870243072509766 1.4983696937561035 6.028843820095062 7.5893683433532715 34.49600702151656 13.288087844848633,0 0.2418786076404425 8.959339116705515e-05 0.18573703424516794 0.979443523446507 0.31384529674774747 0.17623185144628875 0.04456006164270274 0.003225207466841412 0.07346927407222721 0.10303849734010966 0.44563067647963417 0.5205097807694571 0.013504220672402763 0.025141998101515024 0.1373096478893438 0.006113370629805155 0.0004559624948355989 0.0598627821513889 0.036711397997507035 0.09410270375681709 0.18312908358850893 0.5321969541662565 0.0023918061192596666 1.1807436804121445 0.08174749279549688
31,33,Positive Sentiment,Movie review,"A densely constructed, highly referential film, and an audacious return to form that can comfortably sit among Jean-Luc Godard's finest work.",0.0 0.3333 0.6667 0.6667 1.0 0.3333 0.0 0.0 1.0 0.3333 0.0 0.0 0.0 0.0 0.3333 0.3333 0.0 0.0 0.0 0.6667 0.3333,0.08 0.1 -0.065 0.03 0.0 -0.03 0.0 -0.05 0.05 0.06 -0.03 -0.07 0.16 0.04 0.19 -0.18 -0.07 -0.04666666666666667 -0.10250000000000001 0.28 -0.39,Positive,1,nan 12.544164657592773 8.610899209976196 4.045149803161621 9.088266372680664 7.13381995074451 3.5967049598693848 3.4533636569976807 5.801915168762207 7.013294190168381 0.12045853585004807 1.6611799001693726 3.4445104598999023 5.222513198852539 7.2938079833984375 3.549146890640259 5.041985988616943 8.76952999085188 0.4022283061349299 5.133001327514648 1.7696370780467987,0 1.5631148949211828e-06 0.12184540195928031 0.016970436130124153 1.9948675069681983 0.2846592479506171 0.00647123957966619 0.046000454596926206 0.8676962990955689 0.0037046481166784534 0.7629628029000594 0.4524728127353458 0.0036696925289610802 0.00350972707829144 0.0010793409020713283 0.23683018823433383 0.012059074884942473 1.3998212801806413 2.441482669135211 0.09289127089091159 0.4532747440936494
32,34,Positive Sentiment,Tweet,@RickHoffman_ And we are all so grateful for your perseverance! Happy Anniversary twin!,0.0 0.3333 0.3333 0.3333 0.3333 0.3333 1.0 0.3333 0.3333 0.6667 0.6667 0.6667 0.3333,0.061999999999999986 -0.08 0.06 -0.07 -0.05 -0.07 0.0 -0.16 -0.02 0.015000000000000003 0.39 0.6 -0.185,Positive,1,nan 11.007108688354492 3.6825520992279053 2.825340747833252 3.095466375350952 4.142665386199951 2.5175883769989014 0.9231745600700378 1.2761605978012085 10.388368606567383 6.401618480682373 4.6856184005737305 16.31643009185791,1.575404067126962 3.017472492519112e-06 0.024414477072153953 0.08448155943275597 0.07101254694630056 0.043676909642113376 0.07081073255578901 0.31774871912455194 0.30815594783739375 1.0681649477447304 0.0007039351658571869 0.0033056670350708694 0.09674482396320216
33,35,Positive Sentiment,Tweet,Nothing makes me happier than managing my depression well.,0.0 0.0 0.0 0.6667 0.0 0.3333 0.0 0.0 0.0,0.14 -0.07 -0.17 0.94 0.14 -0.11 0.02 -0.11 -0.06,Positive,0.99,nan 6.571908950805664 1.5061041116714478 0.5925621390342712 0.17325277626514435 9.604118347167969 2.5241129398345947 9.14078426361084 6.120614171028137,0 0.0025394112910319053 0.35770909739861523 0.2397811372079332 0.9097444837383812 7.894138049344335e-05 0.045797027120568524 0.0012301157602522975 0.35092226446610203
34,36,Positive Sentiment,Tweet,I am really flattered and happy to hear those complements for my blog! You guys motivates me to write more for my blog. Thank you! sml ,0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.6667 0.3333,-0.11 0.02 0.12 0.63 -0.145 -0.01 0.07 -0.07 0.0 0.05 -0.010000000000000002 -0.03 0.205 -0.07 -0.05 -0.09 0.07666666666666667 0.02 0.11 -0.06 -0.02 -0.01 0.14500000000000002 -0.38 0.045 0.0049999999999999975,Positive,1,nan 3.1060709953308105 4.916310787200928 6.754044532775879 2.3304597134701908 2.936743974685669 1.2019468545913696 2.3507065773010254 7.132419109344482 12.8531494140625 5.012649804353714 0.784049391746521 7.528378963470459 4.127290725708008 2.7365922927856445 13.924222946166992 0.20042716711759567 0.7158166170120239 2.0571775436401367 1.0070350170135498 5.190305233001709 2.8231277465820312 3.049704432487488 2.9390668869018555 1.4555606357753277 26.365769386291504,0 0.06289562327312262 0.004347475270341882 0.9991457359669604 0.05640864793790224 0.017707978114913116 0.24667490089560223 0.09153477722048041 0.0023408393906078732 0.9990434085884119 0.002760563095372062 0.5015761894443266 0.08439596792151367 0.01595172986733311 0.14721798491819008 0.8980299428807269 0.9786979902909039 0.7227696070898766 0.2016689877866043 0.7562516861649259 0.007269272945022796 0.20876227804474679 1.1955505412611114 0.12702707833683724 1.1902002497709196 0.003142228618650801
35,37,Positive Sentiment,Movie review,"It's one of those baseball pictures where the hero is stoic, the wife is patient, the kids are as cute as all get-out and the odds against success are long enough to intimidate, but short enough to make a dream seem possible.",0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 1.0 0.3333 1.0,-0.02 -0.33 0.0 0.09 0.44 0.11 0.08 0.04 0.0 -0.09 -0.12 0.01 -0.12 -0.05 0.14500000000000002 0.08 -0.37 0.05 -0.1 0.02 -0.04 -0.05 -0.006666666666666667 -0.07 -0.1 0.23 -0.11 0.01 0.01 0.05 0.0 -0.1 -0.0725 -0.05 0.01 -0.03 0.0 -0.12 -0.05 0.01 0.07 -0.025,Positive,1,nan 4.772420406341553 0.5608015060424805 1.4368723630905151 9.477090835571289 7.4094953536987305 1.9125478267669678 2.099158763885498 7.288021087646484 0.9371200799942017 11.183766514062881 0.9350475072860718 7.815975189208984 0.42709648609161377 8.478685736656189 0.8744118809700012 2.1035943031311035 0.18667210638523102 6.636946678161621 3.8862884044647217 0.1035798192024231 6.602274417877197 1.8051994270645082 2.5636792182922363 0.5064577460289001 8.440496444702148 4.006022930145264 3.770207405090332 0.28600582480430603 4.082638740539551 4.236663341522217 0.8546019196510315 10.693438053131104 0.7518579363822937 5.63286018371582 0.02872535027563572 0.3274916708469391 2.0451364517211914 2.9802346229553223 5.827226638793945 3.727804183959961 1.4603663980960846,0.18692137595120578 0.007119511254110286 0.6955588401325962 0.24167300150862317 2.9732435609732733e-05 0.00030064030734416425 0.1833450284340251 0.26484193570290115 0.03191478171089495 0.314406325297103 1.01766050859774 0.1522317573397109 0.0026564538093742382 0.596144554629807 0.5613222211311226 0.48955419897748353 0.370396805761999 0.8519819481454444 0.0004674715811814209 0.4254943115152102 0.9884597415590146 0.003999072578979325 2.3310632498068924 0.38154838804870517 0.6432555177065623 0.0003216496976836436 0.08924939830730139 0.4751550248921547 0.6792613440286818 0.03587448357958884 0.02477692753940889 0.8030090217840864 0.008216716872997874 0.4923019407577381 0.022931384603637816 0.9990158550885664 0.9294692915195623 0.21335076152178217 0.03907405059354394 0.004251856363498499 0.09318802990823509 1.302689438464012
36,38,Positive Sentiment,Tweet,Good morning and happy Tuesday! I hope you have a terrific day! Enjoy it tons,0.6667 0.0 0.0 1.0 0.3333 0.0 0.3333 0.0 0.0 0.0 1.0 0.3333 0.6667 0.0 0.3333,-0.71 -0.22 -0.13 -0.12 0.16 0.14 0.07 0.01 0.05 -0.12 0.14 -0.26 0.53 -0.05 -0.16,Positive,1,nan 7.203218460083008 3.767958641052246 2.8112809658050537 6.420997619628906 1.6717844009399414 2.1653859615325928 0.48496195673942566 2.208789348602295 0.36258551478385925 5.380008697509766 2.591922342777252 5.4066596031188965 2.771050453186035 12.690864562988281,0 0.0032023415576488794 0.019972495038992934 0.03444456013798774 0.5244598824730394 0.12664297144102388 0.47672441566014623 0.6149234687352175 0.023984303102638778 0.2907983812147679 0.008216795399519155 1.1393663008257966 0.001444377711001443 0.021848928446351834 3.11751920196438e-06
37,39,Positive Sentiment,Movie review,"An entertaining, colorful, action-filled crime story with an intimate heart.",0.0 1.0 1.0 0.6667 0.0 0.0 0.0 0.0 1.0 0.6667,0.1 0.31999999999999995 -0.030000000000000006 0.11666666666666665 0.52 0.18 -0.11 -0.22 -0.3 -0.065,Positive,1,nan 11.601789474487305 6.627269625663757 8.684612721204758 7.097231388092041 2.120182514190674 2.827833652496338 2.48348331451416 6.970600128173828 7.01393723487854,0 0.10618935907943498 0.3856448004389216 0.9937217480189826 0.00045990408550226707 0.12932041720314566 0.07772766780385897 0.0694905018346806 0.0004713606715423607 0.39471940270248357
38,40,Positive Sentiment,Movie review,"The film is beautifully mounted, but, more to the point, the issues are subtly presented, managing to walk a fine line with regard to the question of Joan's madness.",0.0 0.0 0.0 0.6667 0.3333 -0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.3333 0.0 0.3333 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.3333,-0.14 -0.08 -0.1 0.45 -0.015 0.045000000000000005 0.0 0.01 0.07 0.035 0.09 -0.05 -0.02 -0.1 -0.005000000000000001 0.05 0.03 -0.37 -0.02 0.5 0.04 0.01 -0.08 0.0 0.02 -0.02 0.02 0.16333333333333333 -0.175,Positive,1,nan 6.901947021484375 2.0166075229644775 7.384222030639648 12.388066172599792 8.528000831604004 4.309683322906494 3.4968912601470947 0.05848925560712814 0.04538345383480191 1.882248878479004 7.737425804138184 2.771684169769287 7.667018413543701 5.107626914978027 8.059682846069336 0.13917730748653412 7.882558345794678 1.0669054985046387 0.3891747295856476 0.01999274082481861 5.084589004516602 4.537658214569092 0.01296189520508051 2.199920415878296 6.431988716125488 0.1433843970298767 13.208784699440002 8.530162632465363,0 0.0011642661553635922 0.14587043248827242 0.0007302533713503456 0.42684956594748846 0.07465334378073903 0.006007927090480382 0.030935713059942773 0.9818510758979733 1.948574261288381 0.09378527671022145 0.00016297349137245207 0.1112088515570956 0.0001144764995660538 0.22914541722742418 0.00011626505691902009 0.8299053589950846 0.0019926497366211404 0.4778600843039504 0.31403815114270234 0.9683885864256783 0.004766882746396354 0.15565961668007827 0.9929887820797706 0.43264999650825026 0.01011189323379669 0.9595185919648633 0.44010671507993904 0.4966364121125671
39,41,Positive Sentiment,Tweet, Its amazing isnt it. Im a big fan of B&W but the life these restorations give the photographs is awe inspiring.,0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.3333 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0,-0.03 0.28 0.08 -0.05000000000000001 -0.04 -0.16 -0.24 0.0 -0.18 -0.21 -0.08 -0.34 0.08 0.05 0.07 -0.23 -0.13 -0.13 0.0 -0.01 -0.23,Positive,1,nan 7.788818359375 5.912026882171631 7.607746124267578 2.4465321600437164 6.911759376525879 2.7547202110290527 2.5382328033447266 0.4582606554031372 0.1461062878370285 11.974294424057007 3.243459463119507 2.881988048553467 8.500258445739746 7.515005588531494 10.058178901672363 2.723750203847885 3.6891374588012695 6.11015510559082 0.6503956913948059 6.681451320648193 0.6756196916103363,7.507388402277199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
40,42,Positive Sentiment,Movie review,The mesmerizing performances of the leads keep the film grounded and keep the audience riveted.,0.0 0.6667 0.3333 0.0 0.0 0.0 0.3333 0.3333 0.3333 0.3333 0.0 0.3333 0.3333 0.3333 0.3333,-0.1 -0.49 0.030000000000000013 -0.27 -0.14 -0.05 0.01 -0.23 -0.37 -0.06 -0.21 -0.1 -0.41 -0.22 -0.06000000000000001,Positive,1,nan 12.98013687133789 6.616067886352539 1.1434142589569092 1.8878270387649536 7.952446460723877 6.668139934539795 1.2050081491470337 2.638679265975952 5.100748062133789 1.3236759901046753 4.75308895111084 0.8442939519882202 1.4023765325546265 5.5686046129558235,0 0.8557010715675106 0.0003780656878731655 0.4845570520958719 0.25261535073242763 0.00103567902974133 0.005528056344519842 0.3832216256918917 0.16067790627146403 0.008173802958623544 0.18414015488435076 0.008775618743818516 0.45546012831467114 0.6209788845262131 1.3123120877845948
41,43,Positive Sentiment,Movie review,"Although laced with humor and a few fanciful touches, the film is a refreshingly serious look at young women.",0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 1.0 0.3333 0.0 0.0 0.0 0.0,-0.06 -0.37 0.08 -0.44 -0.19 -0.01 -0.05 -0.07 0.13 -0.29 -0.33 0.02 -0.21 0.38 -0.31 -0.35 0.07 -0.08 -0.29000000000000004,Positive,1,nan 14.595117568969727 0.15064384043216705 6.015872001647949 1.005223274230957 2.5906147956848145 4.22116756439209 11.151350021362305 2.1352578522637486 1.5397627353668213 2.832810878753662 1.1812732219696045 1.8395124673843384 5.145882606506348 5.171278119087219 1.5661154985427856 0.05963039770722389 7.372750282287598 7.4339072704315186,0 1.7093591906381947e-06 0.2962217351087879 0.06379241390572823 0.1895005788209888 0.029180400815949956 0.038808604169168974 0.997819506541957 0.9018828737390442 0.3189809167777574 0.03548464540035096 0.3878133041623227 0.13543315248344162 0.4851737409861276 0.01713844660042293 0.19954262626234942 0.9745583090365272 0.003046221526910042 0.07047330350871991
42,44,Positive Sentiment,Movie review,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece.,0.0 0.0 0.0 1.0 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0,0.04 -0.76 -0.04 -0.02 -0.09 -0.11 -0.25 0.2 -0.07 -0.03 0.1 -0.08 -0.08 0.04 -0.08 0.03 0.08 -0.08 -0.01 0.03 -0.06 -0.45 -0.16 0.03 0.020000000000000018,Positive,1,nan 1.18379545211792 0.292198121547699 3.2644906044006348 6.135951519012451 1.1178547143936157 0.7477722764015198 0.5941006541252136 5.701401233673096 2.6329259872436523 6.098386764526367 0.029032031074166298 1.0734184980392456 9.074495315551758 3.169300079345703 4.442929267883301 6.623944282531738 0.0333656370639801 8.883833885192871 6.501467704772949 4.133918762207031 8.738876342773438 5.456061363220215 6.545992851257324 6.351172924041748,0 0.17384254556366144 0.7235375020827306 0.09640299590459961 0.001720694311728225 0.39500161321529526 0.4613543666788411 0.41518548782218884 0.0014146109962411674 0.009749258969392473 0.004286111360001869 0.9443098214444681 0.2385093896087442 0.0001219833497504794 0.09769556646809092 0.030617051091613393 0.01840563152597641 0.9666231170675047 0.002933105264287254 0.003734460183597491 0.018107609766092665 0.0009106322677406085 0.06770538907110622 0.0002879231366732777 0.14506142277044512
43,45,Polite,Tweet,@RickHoffman_ And we are all so grateful for your perseverance! Happy Anniversary twin!,0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.3333 1.0 1.0 0.3333,0.061999999999999986 -0.08 0.06 -0.07 -0.05 -0.07 0.0 -0.16 -0.02 0.015000000000000003 0.39 0.6 -0.185,Polite,0.96,nan 11.007108688354492 3.6825520992279053 2.825340747833252 3.095466375350952 4.142665386199951 2.5175883769989014 0.9231745600700378 1.2761605978012085 10.388368606567383 6.401618480682373 4.6856184005737305 16.31643009185791,1.5821497733969878 2.9830777154159834e-06 0.024430024276408144 0.0845086401120012 0.07123616885576188 0.043657962341933705 0.07100464368964983 0.3176288233837037 0.3082881442709199 1.06812662185087 0.0007056033539164772 0.003296997741201487 0.09695470500467912
